TeamID,TeamName,Conference
1610612748,Heat,East
1610612756,Suns,West
1610612738,Celtics,East
1610612763,Grizzlies,West
1610612744,Warriors,West
1610612749,Bucks,East
1610612742,Mavericks,West
1610612755,76ers,East
1610612761,Raptors,East
1610612762,Jazz,West
1610612743,Nuggets,West
1610612741,Bulls,East
1610612750,Timberwolves,West
1610612751,Nets,East
1610612740,Pelicans,West
1610612737,Hawks,East
1610612746,Clippers,West
1610612739,Cavaliers,East
1610612759,Spurs,West
1610612766,Hornets,East
1610612747,Lakers,West
1610612752,Knicks,East
1610612758,Kings,West
1610612764,Wizards,East
1610612757,Trail Blazers,West
1610612754,Pacers,East
1610612760,Thunder,West
1610612765,Pistons,East
1610612745,Rockets,West
1610612753,Magic,East
